,PHS_9-12,PHB_10-15,Bog1_18-22,SOS_12-17,S1_12-15,S2_12-15,S3_13-16,EOS_5-10,E1_5-8,E2_5-8,E3_5-8,Fen1_5-8,Fen2_0-10
1300,0.015806646,0.011891241,0.013152872,0.00976098,0.009770612,0.010815414,0.012318937,0.01990207,0.015430376,0.016407754,0.017670097,0.007767559,0.01001639
1299,0.015758302,0.011858959,0.0130667,0.009681833,0.009712869,0.010726718,0.012236375,0.019882417,0.015373397,0.016354875,0.017614958,0.007730598,0.009958012
1298,0.015717978,0.011823172,0.012983337,0.009604698,0.009663917,0.010650279,0.012169691,0.019857064,0.015322496,0.016326717,0.017583591,0.007701786,0.009917297
1297,0.01569413,0.011805527,0.012915617,0.009536579,0.009626408,0.010597587,0.01211788,0.019832328,0.015282143,0.016323195,0.01757632,0.007678362,0.009881641
1296,0.01569164,0.011817244,0.01286939,0.009488728,0.009604657,0.010568637,0.012076548,0.019815422,0.015258552,0.016337787,0.017584117,0.007655792,0.00984287
1295,0.015708277,0.011847751,0.012837379,0.009465373,0.009595455,0.010555679,0.012043471,0.019810064,0.015252328,0.016359231,0.017595604,0.007633049,0.009803592
1294,0.015742603,0.011877798,0.012816089,0.009463641,0.009594556,0.010555269,0.012028805,0.019821094,0.015262638,0.016384612,0.017611277,0.007619528,0.009776935
1293,0.01579551,0.011895176,0.012813733,0.009480444,0.009605091,0.010569332,0.012047197,0.019852662,0.015291179,0.016425077,0.017642389,0.007629825,0.009777538
1292,0.015863654,0.011899413,0.012836816,0.0095141,0.009633132,0.010597041,0.012098669,0.01989885,0.015336005,0.016492866,0.017695833,0.007666085,0.009808827
1291,0.015942832,0.011899243,0.012881973,0.009562171,0.009679967,0.010634855,0.012169496,0.01994811,0.015390195,0.016588316,0.01777016,0.007712223,0.009859747
1290,0.016037954,0.011905377,0.012944973,0.009621492,0.00974361,0.010683855,0.012252948,0.019999091,0.015453532,0.016703473,0.017866136,0.007752314,0.009915769
1289,0.01615691,0.011921644,0.013027129,0.009690166,0.009824591,0.010748442,0.012355955,0.020058604,0.015536421,0.01683244,0.017988488,0.007788634,0.009971326
1288,0.016293887,0.011945569,0.01312975,0.00976909,0.00992631,0.010828176,0.012482693,0.020123367,0.015644286,0.016974606,0.018134637,0.007834584,0.010030441
1287,0.016433173,0.011978237,0.013251237,0.009862597,0.010050242,0.010918785,0.012625029,0.020181335,0.015765751,0.017133127,0.018293253,0.007895395,0.010098371
1286,0.016571987,0.012024389,0.013390179,0.009974771,0.010191137,0.011019719,0.012773387,0.020232805,0.015885172,0.017311689,0.018456597,0.007963525,0.010174746
1285,0.016724057,0.012079267,0.013541699,0.010101519,0.010335886,0.011131338,0.012924753,0.020289289,0.016000569,0.017505733,0.018623321,0.008028962,0.010252782
1284,0.016895713,0.012126887,0.013691939,0.010229127,0.010469878,0.01124666,0.013076295,0.020347926,0.016120687,0.017698473,0.018789113,0.008087234,0.010324172
1283,0.01707218,0.012159097,0.013828338,0.010346587,0.010589634,0.011356792,0.013223894,0.020389541,0.016250885,0.01787688,0.018949663,0.008141379,0.010387064
1282,0.017233899,0.012186498,0.013954709,0.010458384,0.010707145,0.011464714,0.013371621,0.020410716,0.0163904,0.018052044,0.01911569,0.008202524,0.010449975
1281,0.017376257,0.012220861,0.014083308,0.010578,0.010833713,0.011580133,0.013528941,0.020432724,0.016534991,0.018246945,0.019304578,0.008281538,0.010521953
1280,0.017510024,0.012256903,0.01421547,0.010711089,0.010963076,0.011700636,0.013695238,0.020469647,0.016675553,0.018463294,0.019512191,0.008376437,0.010600131
1279,0.017651575,0.012283676,0.014345504,0.010852438,0.011080766,0.011811666,0.013860465,0.020509992,0.016801184,0.018679265,0.019712321,0.008475513,0.010674273
1278,0.017812891,0.012304097,0.014479514,0.01099659,0.011188467,0.011907259,0.014023655,0.020542614,0.016911483,0.018883873,0.019892976,0.008576128,0.010743442
1277,0.017989388,0.012328559,0.014629523,0.011141378,0.011306553,0.011996998,0.014196187,0.020578973,0.017020137,0.01909385,0.020075282,0.008689797,0.010820265
1276,0.018156903,0.012357001,0.014789325,0.011282338,0.011450677,0.012090037,0.014383109,0.020633725,0.017141363,0.019329195,0.020284701,0.008823023,0.010916294
1275,0.018293025,0.012384554,0.014938652,0.011417169,0.01161743,0.012189007,0.014578501,0.020704068,0.017282651,0.019593545,0.020521466,0.008968118,0.011032286
1274,0.018402068,0.012419505,0.015074183,0.011556578,0.011794399,0.01230331,0.014783324,0.020784519,0.017453279,0.019886423,0.020770951,0.009121596,0.011165065
1273,0.018507769,0.012477054,0.015214819,0.011716928,0.011972585,0.012448855,0.015008218,0.02088245,0.017663705,0.020210978,0.021025688,0.009295398,0.011313887
1272,0.018623996,0.012554318,0.015369703,0.011895078,0.012143753,0.01262152,0.015247628,0.020996683,0.017902959,0.020552819,0.021279245,0.00949245,0.011472456
1271,0.018747158,0.012626444,0.015521984,0.012060865,0.012296597,0.012784418,0.015467443,0.021096113,0.018128497,0.020871529,0.021511466,0.009683395,0.01162201
1270,0.018872467,0.012671628,0.015652903,0.012183455,0.012424115,0.01289983,0.015634214,0.021146802,0.018299056,0.02113588,0.021701797,0.009831363,0.011743675
1269,0.018996168,0.012690463,0.015762971,0.012259533,0.012529964,0.012969013,0.015747185,0.021152769,0.01841435,0.02135436,0.021851957,0.009935139,0.011835272
1268,0.019101531,0.012699722,0.015860077,0.012311063,0.012624229,0.0130289,0.015832196,0.021149081,0.018509169,0.021555793,0.021981735,0.010028631,0.011910024
1267,0.019165758,0.012717137,0.01594521,0.012362658,0.01271661,0.013113714,0.015915056,0.021160331,0.01861255,0.021756272,0.022106866,0.010141459,0.011981036
1266,0.019187669,0.012750772,0.016020283,0.012424602,0.012812099,0.013226577,0.016007315,0.021183911,0.018723585,0.021958491,0.022231066,0.010277449,0.012051874
1265,0.019191108,0.012792992,0.016093022,0.012489556,0.012906444,0.013343251,0.016105634,0.021207895,0.01882223,0.022163451,0.022353963,0.010427422,0.012119209
1264,0.019195683,0.01282572,0.016163546,0.012540455,0.012987885,0.013436911,0.016196629,0.021226032,0.018891535,0.022363652,0.022476359,0.010582698,0.012178409
1263,0.019199214,0.01283934,0.016219895,0.012565902,0.013050954,0.013501805,0.016269757,0.021235991,0.018930159,0.022540127,0.022599599,0.010734365,0.012226292
1262,0.0191904,0.012843687,0.016254367,0.01257043,0.013104436,0.013555809,0.016328718,0.021238818,0.018952549,0.022684267,0.022724134,0.010876888,0.012261663
1261,0.01916255,0.012853254,0.016271835,0.012568105,0.013157502,0.013616345,0.016382005,0.021240607,0.018977043,0.022809959,0.022843534,0.011015795,0.012283368
1260,0.019115137,0.012868621,0.016278301,0.012570616,0.013206899,0.013678652,0.016426959,0.02124893,0.019012945,0.022933392,0.02294392,0.011162512,0.012292428
1259,0.01905753,0.012883603,0.016275107,0.012585823,0.013250533,0.013728443,0.016458402,0.02126757,0.01906014,0.023056163,0.023020133,0.011320587,0.01229949
1258,0.019009839,0.01290263,0.016267995,0.012620652,0.013303571,0.013771126,0.016489211,0.021296652,0.019116904,0.023177713,0.023088987,0.011485616,0.012324031
1257,0.018984652,0.012934863,0.016267176,0.012675469,0.013382317,0.013830773,0.016542408,0.021332587,0.019180919,0.023305506,0.023172526,0.011656969,0.012378569
1256,0.018970278,0.012974713,0.016274503,0.012737107,0.013477233,0.0139178,0.016621119,0.021364321,0.019243991,0.023439935,0.023269267,0.011837857,0.012454827
1255,0.018946393,0.013004247,0.016284191,0.012786131,0.013561675,0.014014699,0.016703924,0.021379336,0.01929764,0.023568565,0.023357526,0.012025357,0.012531754
1254,0.018911602,0.013016076,0.016298224,0.012811301,0.01362619,0.014100393,0.016772715,0.021379549,0.019345338,0.023688577,0.023427218,0.012210885,0.01259631
1253,0.0188794,0.013021168,0.016327781,0.012814592,0.013686653,0.014175855,0.016829925,0.021382243,0.019398496,0.023815723,0.023492359,0.012390289,0.01265036
1252,0.018852998,0.013032397,0.016377276,0.012808425,0.013759205,0.014257472,0.016887096,0.021399942,0.019460031,0.023957111,0.023570911,0.012566073,0.012699855
1251,0.018824204,0.01305109,0.016439403,0.012814042,0.013845932,0.014355894,0.016953683,0.021427439,0.019523697,0.02409453,0.023668499,0.012742004,0.012747396
1250,0.018793419,0.013071337,0.016505779,0.012851953,0.013945222,0.014470054,0.017038527,0.021452058,0.019589006,0.024211092,0.023782427,0.0129217,0.012795218
1249,0.018770412,0.013088781,0.016570082,0.012922435,0.014056223,0.01459388,0.017143722,0.021467335,0.019662286,0.024316327,0.023904217,0.013108131,0.012845701
1248,0.018758392,0.013103324,0.016623016,0.013001793,0.014168785,0.014720971,0.01725347,0.021473933,0.019741409,0.024426729,0.024016925,0.013297777,0.012898012
1247,0.018756141,0.013117877,0.016659916,0.013066065,0.014265151,0.014845758,0.017344702,0.021476344,0.019812673,0.024534797,0.024105099,0.013478147,0.012949757
1246,0.018770375,0.013132745,0.016691811,0.013111247,0.014337635,0.014963597,0.017412011,0.021482154,0.019866039,0.02461459,0.024169124,0.013637049,0.012999601
1245,0.018803837,0.013138262,0.016731544,0.01314299,0.014393422,0.01506734,0.017468226,0.02149497,0.019901933,0.024648887,0.024216809,0.013772145,0.013041609
1244,0.018835123,0.013119758,0.016769524,0.013158803,0.014440883,0.015145838,0.017519747,0.021504249,0.019920417,0.024638708,0.024244158,0.013888709,0.013060935
1243,0.01883595,0.013075944,0.016781346,0.013155497,0.014483828,0.015194511,0.017557941,0.021492712,0.019917008,0.024596825,0.024243284,0.013994946,0.013047331
1242,0.018808701,0.013023858,0.01675884,0.013142867,0.01452612,0.015224773,0.017574484,0.021455669,0.019890791,0.02453983,0.024223973,0.014101095,0.01301135
1241,0.01878223,0.012978116,0.016716128,0.013132426,0.014565872,0.015251937,0.017567928,0.021401741,0.019844061,0.024474575,0.02420369,0.014212996,0.012974782
1240,0.018769461,0.012936044,0.016667918,0.013120838,0.014587279,0.01527709,0.017537148,0.021335994,0.019775897,0.024388635,0.024179862,0.01432387,0.01294608
1239,0.018752701,0.012891789,0.016621234,0.013099847,0.014574458,0.01529279,0.01748685,0.021258143,0.019689787,0.024267483,0.024135844,0.014420842,0.012915775
1238,0.018711776,0.012850959,0.016582886,0.013071781,0.014531248,0.015300727,0.017434474,0.021176247,0.019601456,0.024120293,0.024069421,0.014498487,0.012871736
1237,0.018644158,0.01281753,0.016551603,0.013037975,0.01447285,0.01530844,0.017390219,0.021103831,0.019520249,0.023969444,0.023988749,0.01455468,0.012806323
1236,0.018555758,0.012779076,0.016504959,0.012983295,0.014404347,0.015313385,0.017335574,0.021041288,0.019429024,0.02381512,0.023884438,0.014578401,0.012712779
1235,0.018454071,0.012722405,0.016417245,0.012892503,0.014324877,0.01530662,0.017244767,0.020976402,0.019304312,0.023632803,0.023736174,0.014561822,0.012590621
1234,0.01835188,0.01265435,0.016290695,0.012773298,0.014242974,0.015287303,0.017122035,0.020904547,0.019151366,0.023407238,0.02354676,0.014523498,0.012453738
1233,0.018256452,0.012589099,0.016148594,0.012643097,0.014164733,0.015255663,0.016991621,0.020831278,0.01899334,0.02314617,0.023340128,0.014495974,0.012318279
1232,0.018154206,0.012523054,0.015999976,0.012502426,0.014073727,0.015197489,0.01685547,0.02075268,0.01882851,0.022859097,0.023124585,0.01448671,0.01218331
1231,0.01802395,0.012441562,0.015833071,0.012342157,0.01394717,0.01509707,0.016688894,0.020650492,0.018626803,0.022547299,0.022884918,0.01447189,0.012034991
1230,0.017863068,0.012345305,0.015640487,0.012167695,0.013789335,0.014963164,0.016477317,0.020513074,0.018372708,0.022218768,0.02261178,0.01443298,0.011867064
1229,0.017682233,0.012250462,0.015426982,0.01199314,0.013626308,0.014820592,0.016231269,0.020349216,0.018086046,0.021888631,0.02231369,0.014377995,0.011684959
1228,0.0174805,0.012163926,0.015193481,0.01181754,0.013470846,0.014677526,0.01596536,0.020177946,0.017793874,0.021557079,0.021999986,0.014320446,0.011492857
1227,0.017249374,0.012074553,0.014936261,0.011627802,0.013314086,0.014521607,0.015688033,0.020014234,0.017504471,0.021205602,0.02167616,0.014259128,0.011290154
1226,0.0169972,0.011968876,0.014662004,0.011420141,0.013147814,0.014346637,0.015411272,0.019861148,0.017214687,0.020820622,0.021354215,0.014187949,0.0110778
1225,0.016744597,0.011843079,0.014383737,0.011200816,0.012972636,0.014162365,0.015145375,0.019704473,0.016922672,0.020406257,0.021043663,0.014108138,0.010856131
1224,0.016496696,0.011701181,0.014103503,0.010972203,0.012786462,0.013978318,0.014882667,0.019522221,0.016626011,0.019973584,0.020734711,0.014022497,0.010621232
1223,0.016241503,0.011552767,0.013816874,0.010735366,0.012585769,0.013796262,0.014606053,0.019313484,0.016321215,0.019534055,0.020411643,0.013931974,0.010375712
1222,0.0159729,0.011410585,0.013530025,0.010499096,0.012376524,0.013616826,0.014312407,0.019108725,0.016009292,0.019103368,0.020077207,0.013842005,0.010136389
1221,0.01569413,0.011280805,0.013253482,0.010270071,0.012165809,0.013435671,0.014009966,0.018933748,0.015691339,0.018694943,0.019741123,0.01375734,0.009916958
1220,0.015402817,0.01115806,0.012984664,0.010042177,0.011947097,0.013236968,0.013699266,0.018774596,0.015361844,0.018308186,0.01939397,0.013669567,0.009709156
1219,0.015095537,0.011035162,0.012715907,0.009809606,0.011711857,0.013010691,0.013377596,0.018599007,0.015019688,0.01793394,0.019020043,0.01356623,0.009495356
1218,0.014785702,0.010910627,0.01245423,0.009580763,0.011469773,0.012774663,0.013056065,0.018402527,0.014680939,0.017567322,0.018630646,0.01345183,0.009274107
1217,0.014495562,0.010782071,0.012212805,0.009365837,0.011238815,0.012560747,0.0127508,0.018208174,0.014364447,0.017203861,0.018257343,0.013341187,0.009058991
1216,0.014230764,0.010644713,0.011987301,0.009163157,0.011021933,0.012380607,0.012462885,0.018027925,0.014069197,0.016831646,0.017915498,0.013233826,0.008857877
1215,0.013980518,0.010506111,0.011761688,0.008972751,0.01081345,0.01222195,0.012187685,0.017855286,0.013783451,0.016445778,0.017599336,0.013118473,0.008669674
1214,0.01374056,0.010389241,0.011535825,0.008808106,0.010621401,0.012074127,0.011936399,0.017694493,0.013511608,0.01606645,0.017306701,0.013002554,0.00849681
1213,0.01351829,0.010307497,0.011328559,0.008676035,0.010461287,0.011938805,0.01172471,0.01756647,0.013271998,0.015724322,0.017041328,0.012910382,0.00834361
1212,0.013316766,0.010246792,0.011154452,0.008558306,0.010330729,0.011818313,0.011544408,0.017478265,0.013068618,0.015428327,0.016793112,0.012846279,0.008204124
1211,0.013131304,0.010185565,0.011014414,0.008434077,0.010211059,0.011713457,0.011370767,0.017409201,0.012885014,0.015161915,0.016544444,0.01278521,0.00806873
1210,0.01296301,0.010122387,0.010906398,0.008309316,0.010093397,0.011632651,0.011198078,0.017334953,0.012709112,0.014909523,0.016298894,0.012709144,0.007943601
1209,0.012820873,0.010068785,0.010825853,0.008202045,0.009984444,0.011583276,0.011044707,0.017246823,0.012544592,0.014672291,0.01607822,0.012628954,0.00784594
1208,0.01270834,0.010024209,0.01075484,0.008109034,0.009887098,0.0115521,0.010921105,0.017143731,0.012392929,0.014458466,0.01588865,0.012560766,0.007776118
1207,0.012617576,0.009975455,0.010668623,0.008010424,0.009792715,0.011511674,0.010813533,0.017026137,0.012243065,0.014271111,0.015713185,0.012504112,0.007709418
1206,0.012535759,0.009914262,0.010557494,0.007898959,0.009692062,0.011448505,0.010701667,0.016902143,0.012086581,0.014103888,0.015538566,0.012454057,0.007620688
1205,0.012448286,0.009837792,0.010428851,0.007780358,0.009578265,0.01136953,0.010573107,0.016778941,0.011926487,0.013937335,0.015365101,0.012411549,0.007505446
1204,0.012339171,0.009736136,0.01028698,0.007650144,0.009441297,0.011280698,0.010417518,0.016644718,0.011762303,0.013743041,0.015186309,0.012368777,0.007372993
1203,0.012197193,0.009598474,0.01012472,0.007495001,0.009276537,0.011176857,0.010226462,0.016479325,0.011581093,0.01350654,0.014984099,0.012305392,0.007233008
1202,0.012017385,0.009432287,0.009934718,0.007315645,0.009097186,0.011052556,0.010005664,0.016285726,0.011372643,0.013245121,0.014750914,0.012214892,0.007094044
1201,0.011790847,0.009261097,0.009714288,0.007126038,0.008920811,0.010904484,0.009771205,0.016089355,0.011140813,0.012988393,0.014494048,0.012118037,0.006960422
1200,0.011505808,0.009101178,0.009459752,0.006930152,0.008743973,0.010723762,0.009527659,0.015902214,0.010891091,0.012742046,0.014212138,0.012036747,0.006820955
1199,0.011170774,0.008950755,0.009171718,0.006718814,0.008545733,0.010506274,0.009261939,0.015708354,0.010619057,0.012484271,0.013891514,0.011969648,0.006650901
1198,0.010821778,0.00880045,0.008867781,0.00648913,0.008316739,0.010271725,0.008963065,0.01549009,0.01032228,0.012196612,0.013535615,0.01190403,0.006436901
1197,0.010489555,0.008643692,0.008576349,0.006249626,0.00807236,0.010051926,0.008639804,0.015249823,0.010016155,0.011885993,0.013177876,0.011836599,0.00619701
1196,0.010173045,0.008477302,0.008314975,0.006007333,0.007838403,0.009857395,0.008317464,0.015000104,0.009728144,0.011577921,0.012853853,0.011769734,0.005968893
1195,0.009862516,0.00830182,0.008083015,0.005767974,0.007636157,0.009675063,0.008024157,0.014751341,0.0094806,0.011302452,0.012575997,0.01170145,0.005780961
1194,0.009573028,0.008123852,0.007874445,0.005549013,0.007477984,0.009501724,0.007777858,0.014516428,0.009284042,0.011085585,0.012343504,0.011632348,0.005638519
1193,0.009331748,0.007953826,0.007690616,0.005375498,0.007364384,0.009358356,0.007580283,0.014311149,0.009140542,0.01093857,0.012160581,0.01157239,0.005533501
1192,0.009142804,0.007802564,0.0075428,0.005259794,0.007285621,0.009262737,0.007427112,0.014142558,0.009045939,0.010851224,0.012033247,0.011531846,0.00546088
1191,0.008990212,0.007681104,0.00744911,0.005196032,0.007234876,0.009206233,0.007326769,0.014006905,0.00899159,0.01080415,0.01195892,0.01151464,0.005424159
1190,0.008873118,0.007596398,0.007425836,0.005176037,0.007218323,0.009171106,0.007299715,0.013901617,0.008972848,0.010791385,0.011932125,0.011525521,0.005429759
1189,0.008815781,0.007541726,0.00747434,0.00520086,0.007245569,0.009158707,0.007352946,0.013827283,0.008996329,0.010824904,0.011954378,0.01157052,0.005479885
1188,0.008839358,0.007497482,0.00757886,0.005275206,0.007315157,0.009186178,0.007466433,0.013775897,0.009072507,0.010916151,0.012028293,0.011643971,0.005569983
1187,0.00894008,0.007449779,0.007724238,0.005400215,0.007419219,0.009263516,0.00761671,0.013732123,0.009201908,0.011062334,0.012148757,0.011729483,0.005691635
1186,0.00909976,0.007407764,0.007914316,0.005575752,0.007558755,0.009389241,0.007806846,0.013693331,0.009376431,0.011254645,0.012312394,0.011822785,0.00583936
1185,0.009305722,0.007397961,0.008165267,0.005802659,0.007743133,0.009565659,0.008058708,0.013677687,0.00959454,0.011490779,0.01253089,0.011940193,0.006016084
1184,0.009555095,0.007441944,0.008482449,0.006077921,0.0079755,0.009802601,0.008379522,0.013706995,0.009865503,0.011771848,0.012820844,0.012095632,0.0062305
1183,0.009849773,0.007540892,0.008853753,0.006392285,0.008248848,0.010101604,0.008752518,0.013790205,0.010195462,0.012093032,0.013180976,0.0122836,0.006488573
1182,0.010194129,0.007678555,0.009265245,0.006736375,0.008556309,0.010445412,0.009160239,0.013924223,0.010576772,0.012444686,0.013589907,0.012493608,0.006787821
1181,0.010591414,0.007837152,0.009710258,0.00710529,0.008895895,0.010808195,0.009599317,0.01409779,0.010993839,0.012818752,0.014024979,0.012724957,0.007118013
1180,0.011038042,0.008012036,0.010177741,0.007494848,0.009264671,0.011172678,0.01006735,0.0142925,0.011432534,0.013209153,0.014472874,0.012975262,0.007465271
1179,0.011525371,0.008212104,0.010645836,0.007898438,0.009657288,0.011536996,0.010552229,0.014495028,0.01188171,0.013611077,0.014924303,0.013229977,0.007817614
1178,0.012046491,0.008445498,0.01110014,0.008311074,0.010070338,0.011910043,0.011043797,0.014714179,0.01233301,0.014024267,0.015371614,0.013478423,0.008170538
